Name,Unit Price (USD),Quantity,Extended Price (USD),Notes,Link
HX PH254-01-02-Z-L11.5 (hanxia),0.0130,50,0.65,MOQ=50,https://www.lcsc.com/product-detail/C52016390.html
X322525MOB4SI (YXC),0.1040,5,0.52,MOQ=5,https://www.lcsc.com/product-detail/C9006.html
RTL8111H-CG (REALTEK),1.9971,1,2.00,,https://www.lcsc.com/product-detail/C2761340.html
LPJG0926HENL (LINK-PP),3.8943,2,7.79,,https://www.lcsc.com/product-detail/C22457393.html
TPD4EUSB30DQAR (TI),0.4490,5,2.25,MOQ=5,https://www.lcsc.com/product-detail/C90627.html
476591100 (MOLEX),1.5875,1,1.59,,https://www.lcsc.com/product-detail/C5289795.html
RT9742SNGV (RICHTEK),0.4763,1,0.48,,https://www.lcsc.com/product-detail/C3235509.html
AP2553W6-7 (DIODES),0.2372,5,1.19,MOQ=5,https://www.lcsc.com/product-detail/C212302.html
TPD2E2U06DCKR (TI),0.1532,5,0.77,MOQ=5,https://www.lcsc.com/product-detail/C1855726.html
MSK12C02-HB (SHOU HAN),0.0582,10,0.58,MOQ=10,https://www.lcsc.com/product-detail/C431541.html
RT0402BRD072K49L (YAGEO),0.0256,20,0.51,MOQ=20,https://www.lcsc.com/product-detail/C852700.html
RT0603BRD071KL (YAGEO),0.0237,20,0.47,MOQ=20,https://www.lcsc.com/product-detail/C110776.html
RT0603BRD0715KL (YAGEO),0.0297,20,0.59,MOQ=20,https://www.lcsc.com/product-detail/C326733.html
10164227-1001A1RLF (Amphenol),1.7712,2,3.54,,https://www.lcsc.com/product-detail/C6782225.html
3034 (Keystone),0.3552,1,0.36,,https://www.lcsc.com/product-detail/C5199422.html
BM04B-SRSS-TB(LF)(SN) (JST),0.2322,5,1.16,MOQ=5,https://www.lcsc.com/product-detail/C160390.html
USB-269-BRW (XUNPU),0.2944,5,1.47,MOQ=5,https://www.lcsc.com/product-detail/C720548.html
TYPE-C-31-M-12 (Korean Hroparts Elec),0.1857,5,0.93,MOQ=5,https://www.lcsc.com/product-detail/C165948.html
XL-1608UGC-04 (XINGLIGHT),0.0050,100,0.50,MOQ=100,https://www.lcsc.com/product-detail/C965804.html
XL-1608SURC-06 (XINGLIGHT),0.0035,100,0.35,MOQ=100,https://www.lcsc.com/product-detail/C965799.html
CC0402JRNPO9BN120 (YAGEO),0.0027,100,0.27,MOQ=100,https://www.lcsc.com/product-detail/C106201.html
GRM035R60J475ME15D (muRata),0.0732,10,0.73,MOQ=10,https://www.lcsc.com/product-detail/C335103.html
CL03A104KO3NNNC (Samsung Electro-Mechanics),0.0029,100,0.29,MOQ=100,https://www.lcsc.com/product-detail/C307380.html
CL05B104KB54PNC (Samsung Electro-Mechanics),0.0077,100,0.77,MOQ=100,https://www.lcsc.com/product-detail/C307331.html
EEEFTH101XAP (PANASONIC),0.3918,5,1.96,MOQ=5,https://www.lcsc.com/product-detail/C165974.html
CL10A106KO8NQNC (Samsung Electro-Mechanics),0.0433,10,0.43,MOQ=10,https://www.lcsc.com/product-detail/C962136.html
CL10B104KB8NNNC (Samsung Electro-Mechanics),0.0115,100,1.15,MOQ=100,https://www.lcsc.com/product-detail/C1591.html
CR2032 battery,0,1,0,owned,N/A
Waveshare CM5 heatsink/fan assembly,0,1,0,owned - link is amazon as waveshare shipping expensive,https://www.amazon.com.au/Fan-Dedicated-3007-Compatible-Adjustable/dp/B0DPMQZ4Z2
Raspberry Pi CM5,0,1,0,owned,https://www.raspberrypi.com/products/compute-module-5/
10mm 2pin momentary push button,0,1,0,owned - link is example of button,https://www.amazon.com.au/VGOL-Button-Compatible-Applications-Limited/dp/B0GFBBVC7T
PCB,8.5,1,8.5,price for 5,https://jlcpcb.com
M3x4 screws,0,4,0,owned,-
M2x10 screws,0,4,0,owned,-
